job_title,job_detail_url,job_listed,company_name,company_link,company_location
Data Engineer – Spark Scala,https://es.linkedin.com/jobs/view/data-engineer-%E2%80%93-spark-scala-at-grupo-tecdata-engineering-4144999494?refId=LRxniJ5u5ZuhsVa3XZ5IpA%3D%3D&trackingId=DF2ggy9sXkRdsiGoozbwYw%3D%3D&position=2&pageNum=24,2 days ago,Grupo TECDATA Engineering,https://es.linkedin.com/company/grupo-tecdata-engineering?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Assurance | Beca Transformación Digital FY25,https://es.linkedin.com/jobs/view/assurance-beca-transformaci%C3%B3n-digital-fy25-at-pwc-espa%C3%B1a-3963975885?refId=LRxniJ5u5ZuhsVa3XZ5IpA%3D%3D&trackingId=dBnY0b7zv4FpZ8P5ufpD2w%3D%3D&position=3&pageNum=24,1 week ago,PwC España,https://es.linkedin.com/company/pwc-espana?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Data Architect,https://es.linkedin.com/jobs/view/data-architect-at-bnp-paribas-4132091794?refId=LRxniJ5u5ZuhsVa3XZ5IpA%3D%3D&trackingId=X6vlRgVa9z%2B%2BRCaimbm%2FDw%3D%3D&position=4&pageNum=24,2 weeks ago,BNP Paribas,https://fr.linkedin.com/company/bnp-paribas?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
AI Prime Sales Representative,https://es.linkedin.com/jobs/view/ai-prime-sales-representative-at-oracle-4122619669?refId=LRxniJ5u5ZuhsVa3XZ5IpA%3D%3D&trackingId=Ey7nlkyZ5r2Ut0VggQsThw%3D%3D&position=5&pageNum=24,10 hours ago,Oracle,https://www.linkedin.com/company/oracle?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Associate Data Science & Management Consultant (France) - Orbit Program,https://es.linkedin.com/jobs/view/associate-data-science-management-consultant-france-orbit-program-at-celonis-4066020137?refId=LRxniJ5u5ZuhsVa3XZ5IpA%3D%3D&trackingId=iSzClbWam4x4t37m8Kht6Q%3D%3D&position=6&pageNum=24,3 weeks ago,Celonis,https://www.linkedin.com/company/celonis?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
"Lead Product Analyst, B2C Financial Products",https://es.linkedin.com/jobs/view/lead-product-analyst-b2c-financial-products-at-tabby-4133648439?refId=LRxniJ5u5ZuhsVa3XZ5IpA%3D%3D&trackingId=TPcgm6%2BenSYgu3dD3UvhWw%3D%3D&position=7&pageNum=24,2 weeks ago,Tabby,https://sa.linkedin.com/company/tabbypay?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Python Full-Stack Developer (Gn),not-found,3 weeks ago,not-found,not-found,"Madrid, Community of Madrid, Spain"
Experto/a en Gobierno de la IA,https://es.linkedin.com/jobs/view/experto-a-en-gobierno-de-la-ia-at-mapfre-4143658102?refId=LRxniJ5u5ZuhsVa3XZ5IpA%3D%3D&trackingId=XbssIw53iPUBJUWsKkl3xw%3D%3D&position=9&pageNum=24,4 days ago,MAPFRE,https://es.linkedin.com/company/mapfre?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
BUSINESS CONSULTANT INSURANCE INDUSTRY MADRID,https://es.linkedin.com/jobs/view/business-consultant-insurance-industry-madrid-at-management-solutions-3621080575?refId=LRxniJ5u5ZuhsVa3XZ5IpA%3D%3D&trackingId=gx55FsfazlW2KjjWlOdhuw%3D%3D&position=10&pageNum=24,1 year ago,Management Solutions,https://es.linkedin.com/company/management-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Software Engineer - Python - Container Images,https://es.linkedin.com/jobs/view/software-engineer-python-container-images-at-canonical-4068940111?refId=LRxniJ5u5ZuhsVa3XZ5IpA%3D%3D&trackingId=OSHm59UzsTm7bsRGkRVxpQ%3D%3D&position=11&pageNum=24,3 months ago,Canonical,https://uk.linkedin.com/company/canonical?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Program Manager - Cloud Transformation,https://es.linkedin.com/jobs/view/program-manager-cloud-transformation-at-nextlane-4143652912?refId=LRxniJ5u5ZuhsVa3XZ5IpA%3D%3D&trackingId=s8YRG%2BA33RL1Xg0TX2AHrw%3D%3D&position=12&pageNum=24,4 days ago,Nextlane,https://fr.linkedin.com/company/nextlaneautomotivegroup?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Big Data Architect,https://es.linkedin.com/jobs/view/big-data-architect-at-interex-group-4103690379?refId=LRxniJ5u5ZuhsVa3XZ5IpA%3D%3D&trackingId=wZyPy6edSj9mKFv58rLWhg%3D%3D&position=13&pageNum=24,3 weeks ago,InterEx Group,https://uk.linkedin.com/company/interex-group?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Data Engineer Spark - Scala,https://es.linkedin.com/jobs/view/data-engineer-spark-scala-at-tuy%C3%BA-technology-3961094415?refId=LRxniJ5u5ZuhsVa3XZ5IpA%3D%3D&trackingId=0VfNcmXZN%2BBhdQ7Kf9D0YA%3D%3D&position=14&pageNum=24,7 months ago,TUYÚ Technology,https://es.linkedin.com/company/tuyutechnology?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
